#    c*t(cm)       probability       error
   0.000000E+00   0.754451E-10   0.640312E-16
   0.299790E-02   0.754449E-10   0.361248E-15
   0.599580E-02   0.754446E-10   0.117512E-14
   0.899370E-02   0.754440E-10   0.263431E-14
   0.119916E-01   0.754430E-10   0.488164E-14
   0.149895E-01   0.754415E-10   0.787363E-14
   0.179874E-01   0.754396E-10   0.116995E-13
   0.209853E-01   0.754373E-10   0.163046E-13
   0.239832E-01   0.754346E-10   0.216556E-13
   0.269811E-01   0.754313E-10   0.276788E-13
   0.299790E-01   0.754277E-10   0.343232E-13
   0.329769E-01   0.754235E-10   0.415235E-13
   0.359748E-01   0.754188E-10   0.491687E-13
   0.389727E-01   0.754137E-10   0.572135E-13
   0.419706E-01   0.754080E-10   0.656083E-13
   0.449685E-01   0.754017E-10   0.742964E-13
   0.479664E-01   0.753950E-10   0.832048E-13
   0.509643E-01   0.753877E-10   0.923464E-13
   0.539622E-01   0.753798E-10   0.101664E-12
   0.569601E-01   0.753715E-10   0.111154E-12
   0.599580E-01   0.753626E-10   0.120873E-12
   0.629559E-01   0.753532E-10   0.130762E-12
   0.659538E-01   0.753434E-10   0.140843E-12
   0.689517E-01   0.753332E-10   0.151125E-12
   0.719496E-01   0.753225E-10   0.161539E-12
   0.749475E-01   0.753115E-10   0.172144E-12
   0.779454E-01   0.753001E-10   0.182945E-12
   0.809433E-01   0.752885E-10   0.193882E-12
   0.839412E-01   0.752765E-10   0.204913E-12
   0.869391E-01   0.752643E-10   0.216097E-12
   0.899370E-01   0.752518E-10   0.227376E-12
   0.929349E-01   0.752392E-10   0.238746E-12
   0.959328E-01   0.752263E-10   0.250065E-12
   0.989307E-01   0.752134E-10   0.261461E-12
   0.101929E+00   0.752003E-10   0.272852E-12
   0.104926E+00   0.751870E-10   0.284253E-12
   0.107924E+00   0.751735E-10   0.295669E-12
   0.110922E+00   0.751599E-10   0.307065E-12
   0.113920E+00   0.751461E-10   0.318323E-12
   0.116918E+00   0.751323E-10   0.329547E-12
   0.119916E+00   0.751182E-10   0.340717E-12
