#    time(ps)      <J(t,x=L)>        rms        <phi(t,x=L)>       rms  
   0.000000E+00   0.647991E-04   0.797708E-07   0.851126E-02   0.747597E-07
   0.100000E+00   0.645965E-04   0.207501E-06   0.844866E-02   0.270511E-06
   0.200000E+00   0.642930E-04   0.344286E-06   0.838671E-02   0.599763E-06
   0.300000E+00   0.639056E-04   0.475782E-06   0.832533E-02   0.106037E-05
   0.400000E+00   0.634520E-04   0.603668E-06   0.826446E-02   0.163803E-05
   0.500000E+00   0.629491E-04   0.733866E-06   0.820404E-02   0.232292E-05
   0.600000E+00   0.624132E-04   0.870004E-06   0.814403E-02   0.311437E-05
   0.700000E+00   0.618578E-04   0.101239E-05   0.808440E-02   0.400913E-05
   0.800000E+00   0.612933E-04   0.115925E-05   0.802512E-02   0.500688E-05
   0.900000E+00   0.607277E-04   0.130674E-05   0.796618E-02   0.611406E-05
   0.100000E+01   0.601646E-04   0.145188E-05   0.790757E-02   0.732136E-05
   0.110000E+01   0.596070E-04   0.159193E-05   0.784929E-02   0.862678E-05
   0.120000E+01   0.590573E-04   0.172524E-05   0.779133E-02   0.100292E-04
   0.130000E+01   0.585185E-04   0.185106E-05   0.773369E-02   0.115179E-04
   0.140000E+01   0.579995E-04   0.196844E-05   0.767637E-02   0.130957E-04
   0.150000E+01   0.575245E-04   0.207635E-05   0.761941E-02   0.147491E-04
   0.160000E+01   0.571603E-04   0.217376E-05   0.756286E-02   0.164752E-04
   0.170000E+01   0.570896E-04   0.226421E-05   0.750688E-02   0.182641E-04
   0.180000E+01   0.577929E-04   0.238715E-05   0.745189E-02   0.201068E-04
   0.190000E+01   0.604747E-04   0.282530E-05   0.739897E-02   0.219934E-04
   0.200000E+01   0.680114E-04   0.474926E-05   0.735070E-02   0.240272E-04
   0.210000E+01   0.869351E-04   0.106718E-04   0.731311E-02   0.269321E-04
   0.220000E+01   0.131418E-03   0.252713E-04   0.729961E-02   0.343751E-04
   0.230000E+01   0.230855E-03   0.582659E-04   0.733893E-02   0.578125E-04
