#    time(ps)        R(t,x=0)       J(t,x=L)
   0.000000E+00   0.719872E+01   0.648178E-04
   0.100000E+00   0.205917E+02   0.646836E-04
   0.200000E+00   0.392977E+02   0.644962E-04
   0.300000E+00   0.625440E+02   0.642635E-04
   0.400000E+00   0.896530E+02   0.639922E-04
   0.500000E+00   0.120031E+03   0.636883E-04
   0.600000E+00   0.153159E+03   0.633568E-04
   0.700000E+00   0.188581E+03   0.630025E-04
   0.800000E+00   0.225900E+03   0.626292E-04
   0.900000E+00   0.264769E+03   0.622404E-04
   0.100000E+01   0.304885E+03   0.618392E-04
   0.110000E+01   0.345983E+03   0.614283E-04
   0.120000E+01   0.387834E+03   0.610102E-04
   0.130000E+01   0.430238E+03   0.605882E-04
   0.140000E+01   0.473022E+03   0.601679E-04
   0.150000E+01   0.516036E+03   0.597637E-04
   0.160000E+01   0.559150E+03   0.594165E-04
   0.170000E+01   0.602252E+03   0.592404E-04
   0.180000E+01   0.645246E+03   0.595423E-04
   0.190000E+01   0.688051E+03   0.611047E-04
   0.200000E+01   0.730597E+03   0.658242E-04
   0.210000E+01   0.772823E+03   0.780716E-04
   0.220000E+01   0.814681E+03   0.107446E-03
   0.230000E+01   0.856127E+03   0.174076E-03
   0.240000E+01   0.897128E+03   0.318321E-03
   0.250000E+01   0.937655E+03   0.617700E-03
   0.260000E+01   0.977684E+03   0.121504E-02
   0.270000E+01   0.101720E+04   0.236308E-02
   0.280000E+01   0.105618E+04   0.449196E-02
   0.290000E+01   0.109462E+04   0.830627E-02
   0.300000E+01   0.113252E+04   0.149182E-01
   0.310000E+01   0.116986E+04   0.260208E-01
   0.320000E+01   0.120664E+04   0.441007E-01
   0.330000E+01   0.124287E+04   0.726850E-01
   0.340000E+01   0.127854E+04   0.116606E+00
   0.350000E+01   0.131366E+04   0.182260E+00
   0.360000E+01   0.134823E+04   0.277831E+00
   0.370000E+01   0.138226E+04   0.413435E+00
   0.380000E+01   0.141575E+04   0.601148E+00
   0.390000E+01   0.144870E+04   0.854887E+00
