#    time(ps)        R(t,x=0)       J(t,x=L)
   0.000000E+00   0.589945E+01   0.648309E-04
   0.100000E+00   0.169504E+02   0.647200E-04
   0.200000E+00   0.324884E+02   0.645644E-04
   0.300000E+00   0.519233E+02   0.643698E-04
   0.400000E+00   0.747311E+02   0.641415E-04
   0.500000E+00   0.100447E+03   0.638842E-04
   0.600000E+00   0.128658E+03   0.636020E-04
   0.700000E+00   0.158998E+03   0.632984E-04
   0.800000E+00   0.191143E+03   0.629769E-04
   0.900000E+00   0.224807E+03   0.626401E-04
   0.100000E+01   0.259736E+03   0.622908E-04
   0.110000E+01   0.295704E+03   0.619312E-04
   0.120000E+01   0.332514E+03   0.615638E-04
   0.130000E+01   0.369991E+03   0.611921E-04
   0.140000E+01   0.407980E+03   0.608234E-04
   0.150000E+01   0.446346E+03   0.604786E-04
   0.160000E+01   0.484969E+03   0.602177E-04
   0.170000E+01   0.523745E+03   0.602107E-04
   0.180000E+01   0.562583E+03   0.609150E-04
   0.190000E+01   0.601402E+03   0.634984E-04
   0.200000E+01   0.640133E+03   0.707905E-04
   0.210000E+01   0.678715E+03   0.893121E-04
   0.220000E+01   0.717096E+03   0.133382E-03
   0.230000E+01   0.755231E+03   0.233013E-03
   0.240000E+01   0.793080E+03   0.448376E-03
   0.250000E+01   0.830610E+03   0.895007E-03
   0.260000E+01   0.867794E+03   0.178571E-02
   0.270000E+01   0.904608E+03   0.349694E-02
   0.280000E+01   0.941031E+03   0.666913E-02
   0.290000E+01   0.977048E+03   0.123510E-01
   0.300000E+01   0.101265E+04   0.221972E-01
   0.310000E+01   0.104781E+04   0.387254E-01
   0.320000E+01   0.108254E+04   0.656315E-01
   0.330000E+01   0.111683E+04   0.108155E+00
   0.340000E+01   0.115067E+04   0.173468E+00
   0.350000E+01   0.118405E+04   0.271060E+00
   0.360000E+01   0.121699E+04   0.413058E+00
   0.370000E+01   0.124947E+04   0.614437E+00
   0.380000E+01   0.128150E+04   0.893054E+00
   0.390000E+01   0.131309E+04   0.126945E+01
   0.400000E+01   0.134422E+04   0.176640E+01
   0.410000E+01   0.137492E+04   0.240818E+01
   0.420000E+01   0.140518E+04   0.321958E+01
   0.430000E+01   0.143500E+04   0.422471E+01
   0.440000E+01   0.146440E+04   0.544576E+01
   0.450000E+01   0.149337E+04   0.690167E+01
   0.460000E+01   0.152193E+04   0.860695E+01
   0.470000E+01   0.155007E+04   0.105708E+02
   0.480000E+01   0.157781E+04   0.127964E+02
   0.490000E+01   0.160515E+04   0.152807E+02
   0.500000E+01   0.163210E+04   0.180148E+02
   0.510000E+01   0.165867E+04   0.209839E+02
   0.520000E+01   0.168485E+04   0.241688E+02
   0.530000E+01   0.171067E+04   0.275467E+02
   0.540000E+01   0.173611E+04   0.310924E+02
   0.550000E+01   0.176120E+04   0.347793E+02
   0.560000E+01   0.178594E+04   0.385814E+02
   0.570000E+01   0.181033E+04   0.424732E+02
   0.580000E+01   0.183438E+04   0.464314E+02
   0.590000E+01   0.185809E+04   0.504353E+02
   0.600000E+01   0.188148E+04   0.544668E+02
   0.610000E+01   0.190455E+04   0.585111E+02
   0.620000E+01   0.192730E+04   0.625563E+02
   0.630000E+01   0.194975E+04   0.665934E+02
   0.640000E+01   0.197189E+04   0.706159E+02
   0.650000E+01   0.199374E+04   0.746200E+02
   0.660000E+01   0.201529E+04   0.786034E+02
   0.670000E+01   0.203656E+04   0.825657E+02
   0.680000E+01   0.205755E+04   0.865078E+02
   0.690000E+01   0.207826E+04   0.904313E+02
   0.700000E+01   0.209870E+04   0.943390E+02
   0.710000E+01   0.211889E+04   0.982338E+02
   0.720000E+01   0.213881E+04   0.102119E+03
   0.730000E+01   0.215847E+04   0.105998E+03
   0.740000E+01   0.217789E+04   0.109874E+03
   0.750000E+01   0.219707E+04   0.113751E+03
   0.760000E+01   0.221600E+04   0.117631E+03
   0.770000E+01   0.223470E+04   0.121517E+03
   0.780000E+01   0.225317E+04   0.125411E+03
   0.790000E+01   0.227141E+04   0.129315E+03
   0.800000E+01   0.228943E+04   0.133230E+03
   0.810000E+01   0.230723E+04   0.137158E+03
   0.820000E+01   0.232482E+04   0.141098E+03
   0.830000E+01   0.234220E+04   0.145053E+03
   0.840000E+01   0.235937E+04   0.149022E+03
   0.850000E+01   0.237634E+04   0.153005E+03
   0.860000E+01   0.239311E+04   0.157002E+03
   0.870000E+01   0.240969E+04   0.161014E+03
   0.880000E+01   0.242608E+04   0.165041E+03
   0.890000E+01   0.244227E+04   0.169083E+03
   0.900000E+01   0.245829E+04   0.173140E+03
   0.910000E+01   0.247412E+04   0.177213E+03
   0.920000E+01   0.248977E+04   0.181302E+03
   0.930000E+01   0.250525E+04   0.185407E+03
   0.940000E+01   0.252056E+04   0.189528E+03
   0.950000E+01   0.253570E+04   0.193668E+03
   0.960000E+01   0.255067E+04   0.197824E+03
   0.970000E+01   0.256548E+04   0.201999E+03
   0.980000E+01   0.258013E+04   0.206191E+03
   0.990000E+01   0.259462E+04   0.210402E+03
   0.100000E+02   0.260896E+04   0.214631E+03
   0.101000E+02   0.262315E+04   0.218879E+03
   0.102000E+02   0.263718E+04   0.223145E+03
   0.103000E+02   0.265107E+04   0.227428E+03
   0.104000E+02   0.266482E+04   0.231730E+03
   0.105000E+02   0.267842E+04   0.236048E+03
   0.106000E+02   0.269188E+04   0.240383E+03
   0.107000E+02   0.270521E+04   0.244734E+03
   0.108000E+02   0.271840E+04   0.249100E+03
   0.109000E+02   0.273146E+04   0.253481E+03
   0.110000E+02   0.274438E+04   0.257876E+03
   0.111000E+02   0.275718E+04   0.262284E+03
   0.112000E+02   0.276985E+04   0.266704E+03
   0.113000E+02   0.278240E+04   0.271136E+03
   0.114000E+02   0.279482E+04   0.275579E+03
   0.115000E+02   0.280712E+04   0.280033E+03
   0.116000E+02   0.281930E+04   0.284496E+03
   0.117000E+02   0.283137E+04   0.288969E+03
   0.118000E+02   0.284332E+04   0.293449E+03
   0.119000E+02   0.285515E+04   0.297938E+03
   0.120000E+02   0.286688E+04   0.302434E+03
   0.121000E+02   0.287849E+04   0.306937E+03
   0.122000E+02   0.289000E+04   0.311447E+03
   0.123000E+02   0.290140E+04   0.315963E+03
   0.124000E+02   0.291269E+04   0.320484E+03
   0.125000E+02   0.292388E+04   0.325011E+03
   0.126000E+02   0.293497E+04   0.329543E+03
   0.127000E+02   0.294595E+04   0.334080E+03
   0.128000E+02   0.295684E+04   0.338622E+03
   0.129000E+02   0.296763E+04   0.343167E+03
   0.130000E+02   0.297832E+04   0.347717E+03
   0.131000E+02   0.298892E+04   0.352270E+03
   0.132000E+02   0.299942E+04   0.356827E+03
   0.133000E+02   0.300983E+04   0.361386E+03
   0.134000E+02   0.302015E+04   0.365949E+03
   0.135000E+02   0.303038E+04   0.370514E+03
   0.136000E+02   0.304053E+04   0.375082E+03
   0.137000E+02   0.305058E+04   0.379652E+03
   0.138000E+02   0.306055E+04   0.384224E+03
   0.139000E+02   0.307043E+04   0.388797E+03
   0.140000E+02   0.308023E+04   0.393372E+03
   0.141000E+02   0.308995E+04   0.397947E+03
   0.142000E+02   0.309958E+04   0.402524E+03
   0.143000E+02   0.310913E+04   0.407101E+03
   0.144000E+02   0.311861E+04   0.411679E+03
   0.145000E+02   0.312801E+04   0.416256E+03
   0.146000E+02   0.313732E+04   0.420834E+03
   0.147000E+02   0.314657E+04   0.425410E+03
   0.148000E+02   0.315573E+04   0.429987E+03
   0.149000E+02   0.316483E+04   0.434562E+03
   0.150000E+02   0.317384E+04   0.439136E+03
   0.151000E+02   0.318279E+04   0.443709E+03
   0.152000E+02   0.319167E+04   0.448280E+03
   0.153000E+02   0.320047E+04   0.452849E+03
   0.154000E+02   0.320920E+04   0.457416E+03
   0.155000E+02   0.321787E+04   0.461980E+03
   0.156000E+02   0.322647E+04   0.466542E+03
   0.157000E+02   0.323500E+04   0.471101E+03
   0.158000E+02   0.324346E+04   0.475657E+03
   0.159000E+02   0.325186E+04   0.480210E+03
   0.160000E+02   0.326019E+04   0.484759E+03
   0.161000E+02   0.326846E+04   0.489305E+03
   0.162000E+02   0.327667E+04   0.493846E+03
   0.163000E+02   0.328481E+04   0.498384E+03
   0.164000E+02   0.329289E+04   0.502917E+03
   0.165000E+02   0.330091E+04   0.507446E+03
   0.166000E+02   0.330888E+04   0.511970E+03
   0.167000E+02   0.331678E+04   0.516489E+03
   0.168000E+02   0.332462E+04   0.521003E+03
   0.169000E+02   0.333240E+04   0.525512E+03
   0.170000E+02   0.334013E+04   0.530015E+03
   0.171000E+02   0.334780E+04   0.534513E+03
   0.172000E+02   0.335541E+04   0.539005E+03
   0.173000E+02   0.336297E+04   0.543491E+03
   0.174000E+02   0.337047E+04   0.547971E+03
   0.175000E+02   0.337792E+04   0.552444E+03
   0.176000E+02   0.338532E+04   0.556911E+03
   0.177000E+02   0.339266E+04   0.561371E+03
   0.178000E+02   0.339995E+04   0.565825E+03
   0.179000E+02   0.340719E+04   0.570271E+03
   0.180000E+02   0.341437E+04   0.574711E+03
   0.181000E+02   0.342151E+04   0.579143E+03
   0.182000E+02   0.342859E+04   0.583568E+03
   0.183000E+02   0.343563E+04   0.587985E+03
   0.184000E+02   0.344261E+04   0.592395E+03
   0.185000E+02   0.344955E+04   0.596797E+03
   0.186000E+02   0.345644E+04   0.601190E+03
   0.187000E+02   0.346328E+04   0.605576E+03
   0.188000E+02   0.347008E+04   0.609954E+03
   0.189000E+02   0.347683E+04   0.614323E+03
   0.190000E+02   0.348353E+04   0.618683E+03
   0.191000E+02   0.349018E+04   0.623035E+03
   0.192000E+02   0.349680E+04   0.627379E+03
   0.193000E+02   0.350336E+04   0.631713E+03
   0.194000E+02   0.350988E+04   0.636039E+03
   0.195000E+02   0.351636E+04   0.640355E+03
