#    time(ps)        R(t,x=0)       J(t,x=L)
   0.000000E+00   0.718691E+02   0.673335E-04
   0.100000E+00   0.142366E+03   0.695031E-04
   0.200000E+00   0.211503E+03   0.714225E-04
   0.300000E+00   0.279294E+03   0.731133E-04
   0.400000E+00   0.345754E+03   0.745955E-04
   0.500000E+00   0.410899E+03   0.758871E-04
   0.600000E+00   0.474749E+03   0.770049E-04
   0.700000E+00   0.537322E+03   0.779644E-04
   0.800000E+00   0.598639E+03   0.787795E-04
   0.900000E+00   0.658720E+03   0.794632E-04
   0.100000E+01   0.717587E+03   0.800275E-04
   0.110000E+01   0.775262E+03   0.804833E-04
   0.120000E+01   0.831767E+03   0.808412E-04
   0.130000E+01   0.887126E+03   0.811125E-04
   0.140000E+01   0.941361E+03   0.813131E-04
   0.150000E+01   0.994495E+03   0.814750E-04
   0.160000E+01   0.104655E+04   0.816803E-04
   0.170000E+01   0.109755E+04   0.821506E-04
   0.180000E+01   0.114752E+04   0.834760E-04
   0.190000E+01   0.119648E+04   0.871617E-04
   0.200000E+01   0.124446E+04   0.968648E-04
   0.210000E+01   0.129147E+04   0.121048E-03
   0.220000E+01   0.133753E+04   0.178384E-03
   0.230000E+01   0.138268E+04   0.308225E-03
   0.240000E+01   0.142693E+04   0.589915E-03
   0.250000E+01   0.147030E+04   0.117675E-02
   0.260000E+01   0.151282E+04   0.235296E-02
   0.270000E+01   0.155450E+04   0.462497E-02
   0.280000E+01   0.159536E+04   0.886089E-02
   0.290000E+01   0.163543E+04   0.164941E-01
   0.300000E+01   0.167472E+04   0.298065E-01
   0.310000E+01   0.171325E+04   0.523036E-01
   0.320000E+01   0.175104E+04   0.891870E-01
   0.330000E+01   0.178811E+04   0.147915E+00
   0.340000E+01   0.182448E+04   0.238831E+00
   0.350000E+01   0.186016E+04   0.375809E+00
   0.360000E+01   0.189517E+04   0.576864E+00
   0.370000E+01   0.192953E+04   0.864634E+00
   0.380000E+01   0.196325E+04   0.126665E+01
   0.390000E+01   0.199636E+04   0.181534E+01
   0.400000E+01   0.202885E+04   0.254757E+01
   0.410000E+01   0.206076E+04   0.350394E+01
   0.420000E+01   0.209208E+04   0.472747E+01
   0.430000E+01   0.212285E+04   0.626211E+01
   0.440000E+01   0.215307E+04   0.815084E+01
   0.450000E+01   0.218275E+04   0.104337E+02
   0.460000E+01   0.221191E+04   0.131457E+02
   0.470000E+01   0.224056E+04   0.163154E+02
   0.480000E+01   0.226872E+04   0.199630E+02
   0.490000E+01   0.229639E+04   0.240997E+02
   0.500000E+01   0.232359E+04   0.287268E+02
   0.510000E+01   0.235032E+04   0.338365E+02
   0.520000E+01   0.237661E+04   0.394117E+02
   0.530000E+01   0.240245E+04   0.454278E+02
   0.540000E+01   0.242787E+04   0.518534E+02
   0.550000E+01   0.245287E+04   0.586526E+02
   0.560000E+01   0.247746E+04   0.657862E+02
   0.570000E+01   0.250165E+04   0.732133E+02
   0.580000E+01   0.252545E+04   0.808935E+02
   0.590000E+01   0.254887E+04   0.887873E+02
   0.600000E+01   0.257191E+04   0.968575E+02
   0.610000E+01   0.259460E+04   0.105070E+03
   0.620000E+01   0.261693E+04   0.113395E+03
   0.630000E+01   0.263891E+04   0.121805E+03
   0.640000E+01   0.266055E+04   0.130278E+03
   0.650000E+01   0.268187E+04   0.138795E+03
   0.660000E+01   0.270286E+04   0.147340E+03
   0.670000E+01   0.272353E+04   0.155901E+03
   0.680000E+01   0.274389E+04   0.164468E+03
   0.690000E+01   0.276396E+04   0.173035E+03
   0.700000E+01   0.278372E+04   0.181597E+03
   0.710000E+01   0.280320E+04   0.190151E+03
   0.720000E+01   0.282239E+04   0.198695E+03
   0.730000E+01   0.284131E+04   0.207229E+03
   0.740000E+01   0.285996E+04   0.215751E+03
   0.750000E+01   0.287835E+04   0.224264E+03
   0.760000E+01   0.289647E+04   0.232766E+03
   0.770000E+01   0.291434E+04   0.241260E+03
   0.780000E+01   0.293197E+04   0.249745E+03
   0.790000E+01   0.294935E+04   0.258222E+03
   0.800000E+01   0.296649E+04   0.266692E+03
   0.810000E+01   0.298340E+04   0.275153E+03
   0.820000E+01   0.300009E+04   0.283607E+03
   0.830000E+01   0.301655E+04   0.292051E+03
