#    time(ps)        R(t,x=0)       J(t,x=L)
   0.000000E+00   0.803553E+02   0.640856E-04
   0.100000E+00   0.206731E+03   0.628212E-04
   0.200000E+00   0.357410E+03   0.613140E-04
   0.300000E+00   0.518811E+03   0.596998E-04
   0.400000E+00   0.682587E+03   0.580620E-04
   0.500000E+00   0.843745E+03   0.564504E-04
   0.600000E+00   0.999428E+03   0.548936E-04
   0.700000E+00   0.114813E+04   0.534066E-04
   0.800000E+00   0.128919E+04   0.519961E-04
   0.900000E+00   0.142245E+04   0.506635E-04
   0.100000E+01   0.154807E+04   0.494073E-04
   0.110000E+01   0.166637E+04   0.482243E-04
   0.120000E+01   0.177779E+04   0.471102E-04
   0.130000E+01   0.188276E+04   0.460605E-04
   0.140000E+01   0.198176E+04   0.450706E-04
   0.150000E+01   0.207521E+04   0.441361E-04
   0.160000E+01   0.216355E+04   0.432528E-04
   0.170000E+01   0.224717E+04   0.424166E-04
   0.180000E+01   0.232643E+04   0.416241E-04
   0.190000E+01   0.240166E+04   0.408718E-04
   0.200000E+01   0.247317E+04   0.401568E-04
   0.210000E+01   0.254123E+04   0.394763E-04
   0.220000E+01   0.260610E+04   0.388279E-04
   0.230000E+01   0.266800E+04   0.382095E-04
   0.240000E+01   0.272715E+04   0.376194E-04
   0.250000E+01   0.278373E+04   0.370563E-04
   0.260000E+01   0.283792E+04   0.365200E-04
   0.270000E+01   0.288987E+04   0.360113E-04
   0.280000E+01   0.293973E+04   0.355331E-04
   0.290000E+01   0.298763E+04   0.350915E-04
   0.300000E+01   0.303369E+04   0.346972E-04
   0.310000E+01   0.307803E+04   0.343681E-04
   0.320000E+01   0.312075E+04   0.341321E-04
   0.330000E+01   0.316193E+04   0.340311E-04
   0.340000E+01   0.320168E+04   0.341261E-04
   0.350000E+01   0.324006E+04   0.345030E-04
   0.360000E+01   0.327716E+04   0.352788E-04
   0.370000E+01   0.331303E+04   0.366093E-04
   0.380000E+01   0.334776E+04   0.386968E-04
   0.390000E+01   0.338139E+04   0.417970E-04
   0.400000E+01   0.341398E+04   0.462266E-04
   0.410000E+01   0.344558E+04   0.523699E-04
   0.420000E+01   0.347624E+04   0.606840E-04
   0.430000E+01   0.350600E+04   0.717036E-04
   0.440000E+01   0.353492E+04   0.860446E-04
   0.450000E+01   0.356302E+04   0.104407E-03
   0.460000E+01   0.359034E+04   0.127576E-03
   0.470000E+01   0.361693E+04   0.156426E-03
   0.480000E+01   0.364280E+04   0.191923E-03
   0.490000E+01   0.366800E+04   0.235125E-03
   0.500000E+01   0.369254E+04   0.287192E-03
   0.510000E+01   0.371646E+04   0.349384E-03
   0.520000E+01   0.373979E+04   0.423072E-03
   0.530000E+01   0.376254E+04   0.509747E-03
   0.540000E+01   0.378474E+04   0.611022E-03
   0.550000E+01   0.380642E+04   0.728648E-03
   0.560000E+01   0.382758E+04   0.864517E-03
   0.570000E+01   0.384826E+04   0.102068E-02
   0.580000E+01   0.386847E+04   0.119933E-02
   0.590000E+01   0.388822E+04   0.140287E-02
   0.600000E+01   0.390754E+04   0.163384E-02
   0.610000E+01   0.392644E+04   0.189498E-02
   0.620000E+01   0.394493E+04   0.218925E-02
   0.630000E+01   0.396303E+04   0.251977E-02
   0.640000E+01   0.398075E+04   0.288990E-02
   0.650000E+01   0.399811E+04   0.330319E-02
   0.660000E+01   0.401511E+04   0.376342E-02
   0.670000E+01   0.403177E+04   0.427460E-02
   0.680000E+01   0.404810E+04   0.484096E-02
   0.690000E+01   0.406412E+04   0.546698E-02
   0.700000E+01   0.407982E+04   0.615736E-02
   0.710000E+01   0.409523E+04   0.691708E-02
   0.720000E+01   0.411034E+04   0.775134E-02
   0.730000E+01   0.412517E+04   0.866562E-02
   0.740000E+01   0.413973E+04   0.966564E-02
   0.750000E+01   0.415403E+04   0.107574E-01
   0.760000E+01   0.416807E+04   0.119472E-01
   0.770000E+01   0.418186E+04   0.132416E-01
   0.780000E+01   0.419541E+04   0.146473E-01
   0.790000E+01   0.420873E+04   0.161716E-01
   0.800000E+01   0.422181E+04   0.178218E-01
   0.810000E+01   0.423468E+04   0.196055E-01
   0.820000E+01   0.424733E+04   0.215308E-01
   0.830000E+01   0.425977E+04   0.236060E-01
   0.840000E+01   0.427200E+04   0.258395E-01
   0.850000E+01   0.428404E+04   0.282403E-01
   0.860000E+01   0.429588E+04   0.308176E-01
   0.870000E+01   0.430754E+04   0.335807E-01
   0.880000E+01   0.431901E+04   0.365395E-01
   0.890000E+01   0.433031E+04   0.397040E-01
   0.900000E+01   0.434143E+04   0.430846E-01
   0.910000E+01   0.435238E+04   0.466920E-01
   0.920000E+01   0.436316E+04   0.505371E-01
   0.930000E+01   0.437379E+04   0.546313E-01
   0.940000E+01   0.438426E+04   0.589861E-01
   0.950000E+01   0.439457E+04   0.636133E-01
   0.960000E+01   0.440474E+04   0.685252E-01
   0.970000E+01   0.441475E+04   0.737342E-01
   0.980000E+01   0.442463E+04   0.792530E-01
   0.990000E+01   0.443437E+04   0.850947E-01
   0.100000E+02   0.444397E+04   0.912727E-01
   0.101000E+02   0.445344E+04   0.978006E-01
   0.102000E+02   0.446277E+04   0.104692E+00
   0.103000E+02   0.447198E+04   0.111962E+00
   0.104000E+02   0.448107E+04   0.119623E+00
   0.105000E+02   0.449004E+04   0.127692E+00
   0.106000E+02   0.449888E+04   0.136183E+00
   0.107000E+02   0.450761E+04   0.145112E+00
   0.108000E+02   0.451623E+04   0.154493E+00
   0.109000E+02   0.452474E+04   0.164342E+00
   0.110000E+02   0.453313E+04   0.174676E+00
   0.111000E+02   0.454142E+04   0.185510E+00
   0.112000E+02   0.454961E+04   0.196862E+00
   0.113000E+02   0.455769E+04   0.208747E+00
   0.114000E+02   0.456568E+04   0.221183E+00
