#    time(ps)        R(t,x=0)       J(t,x=L)
   0.000000E+00   0.136678E+01   0.648382E-04
   0.100000E+00   0.625185E+01   0.646625E-04
   0.200000E+00   0.162491E+02   0.643451E-04
   0.300000E+00   0.316629E+02   0.639161E-04
   0.400000E+00   0.517891E+02   0.634074E-04
   0.500000E+00   0.754554E+02   0.628434E-04
   0.600000E+00   0.101689E+03   0.622329E-04
   0.700000E+00   0.129788E+03   0.616086E-04
   0.800000E+00   0.159279E+03   0.609833E-04
   0.900000E+00   0.189911E+03   0.603779E-04
   0.100000E+01   0.221603E+03   0.598038E-04
   0.110000E+01   0.254284E+03   0.593163E-04
   0.120000E+01   0.287994E+03   0.590717E-04
   0.130000E+01   0.322879E+03   0.593591E-04
   0.140000E+01   0.359003E+03   0.607799E-04
   0.150000E+01   0.396314E+03   0.648424E-04
   0.160000E+01   0.434800E+03   0.739682E-04
   0.170000E+01   0.474351E+03   0.923927E-04
   0.180000E+01   0.514731E+03   0.130997E-03
   0.190000E+01   0.555694E+03   0.207088E-03
   0.200000E+01   0.597023E+03   0.347739E-03
   0.210000E+01   0.638429E+03   0.598130E-03
   0.220000E+01   0.679592E+03   0.105627E-02
   0.230000E+01   0.720266E+03   0.188453E-02
   0.240000E+01   0.760232E+03   0.336704E-02
   0.250000E+01   0.799352E+03   0.595271E-02
   0.260000E+01   0.837512E+03   0.103628E-01
   0.270000E+01   0.874637E+03   0.180725E-01
   0.280000E+01   0.910727E+03   0.312465E-01
   0.290000E+01   0.945798E+03   0.532704E-01
   0.300000E+01   0.979859E+03   0.890379E-01
   0.310000E+01   0.101294E+04   0.146270E+00
   0.320000E+01   0.104510E+04   0.236355E+00
   0.330000E+01   0.107638E+04   0.374623E+00
   0.340000E+01   0.110684E+04   0.582083E+00
   0.350000E+01   0.113651E+04   0.886333E+00
   0.360000E+01   0.116545E+04   0.132248E+01
   0.370000E+01   0.119372E+04   0.193219E+01
