#    time(ps)         R(t,x=0)/R(t=0,x=0)          J(t,x=L)/J(t=0,x=L)  phi(t,x=L)/phi(t=0,x=L)
   0.000000E+00         0.529542E+02         0.678752E+00         0.995301E+00
   0.100000E+01         0.130024E+03         0.314391E+01         0.187544E+01
   0.200000E+01         0.216130E+03         0.103504E+02         0.512770E+01
   0.300000E+01         0.303200E+03         0.247402E+02         0.127952E+02
   0.400000E+01         0.387191E+03         0.470063E+02         0.267447E+02
   0.500000E+01         0.466267E+03         0.757647E+02         0.479712E+02
   0.600000E+01         0.539778E+03         0.108442E+03         0.763614E+02
   0.700000E+01         0.607690E+03         0.142487E+03         0.110932E+03
   0.800000E+01         0.670271E+03         0.176122E+03         0.150285E+03
   0.900000E+01         0.727917E+03         0.208463E+03         0.193005E+03
   0.100000E+02         0.781062E+03         0.239275E+03         0.237892E+03
   0.110000E+02         0.830134E+03         0.268647E+03         0.284024E+03
   0.120000E+02         0.875529E+03         0.296762E+03         0.330728E+03
   0.130000E+02         0.917608E+03         0.323784E+03         0.377522E+03
   0.140000E+02         0.956692E+03         0.349820E+03         0.424050E+03
   0.150000E+02         0.993064E+03         0.374932E+03         0.470044E+03
   0.160000E+02         0.102698E+04         0.399151E+03         0.515295E+03
   0.170000E+02         0.105865E+04         0.422492E+03         0.559640E+03
   0.180000E+02         0.108828E+04         0.444965E+03         0.602949E+03
   0.190000E+02         0.111605E+04         0.466581E+03         0.645123E+03
   0.200000E+02         0.114209E+04         0.487352E+03         0.686087E+03
   0.210000E+02         0.116656E+04         0.507291E+03         0.725787E+03
   0.220000E+02         0.118957E+04         0.526415E+03         0.764188E+03
   0.230000E+02         0.121123E+04         0.544744E+03         0.801269E+03
   0.240000E+02         0.123164E+04         0.562296E+03         0.837020E+03
   0.250000E+02         0.125089E+04         0.579093E+03         0.871440E+03
   0.260000E+02         0.126906E+04         0.595158E+03         0.904540E+03
   0.270000E+02         0.128621E+04         0.610512E+03         0.936334E+03
   0.280000E+02         0.130242E+04         0.625180E+03         0.966843E+03
   0.290000E+02         0.131775E+04         0.639185E+03         0.996092E+03
   0.300000E+02         0.133225E+04         0.652551E+03         0.102411E+04
   0.310000E+02         0.134597E+04         0.665302E+03         0.105093E+04
   0.320000E+02         0.135897E+04         0.677462E+03         0.107658E+04
   0.330000E+02         0.137127E+04         0.689054E+03         0.110110E+04
   0.340000E+02         0.138293E+04         0.700101E+03         0.112453E+04
   0.350000E+02         0.139398E+04         0.710626E+03         0.114691E+04
   0.360000E+02         0.140446E+04         0.720652E+03         0.116826E+04
   0.370000E+02         0.141439E+04         0.730199E+03         0.118863E+04
   0.380000E+02         0.142381E+04         0.739289E+03         0.120806E+04
   0.390000E+02         0.143275E+04         0.747942E+03         0.122659E+04
   0.400000E+02         0.144122E+04         0.756178E+03         0.124424E+04
   0.410000E+02         0.144927E+04         0.764015E+03         0.126107E+04
   0.420000E+02         0.145690E+04         0.771472E+03         0.127709E+04
   0.430000E+02         0.146415E+04         0.778566E+03         0.129235E+04
   0.440000E+02         0.147103E+04         0.785315E+03         0.130688E+04
   0.450000E+02         0.147756E+04         0.791734E+03         0.132072E+04
   0.460000E+02         0.148376E+04         0.797839E+03         0.133388E+04
   0.470000E+02         0.148965E+04         0.803645E+03         0.134641E+04
   0.480000E+02         0.149524E+04         0.809166E+03         0.135833E+04
   0.490000E+02         0.150055E+04         0.814416E+03         0.136968E+04
   0.500000E+02         0.150560E+04         0.819408E+03         0.138047E+04
   0.510000E+02         0.151039E+04         0.824154E+03         0.139073E+04
   0.520000E+02         0.151494E+04         0.828666E+03         0.140050E+04
   0.530000E+02         0.151926E+04         0.832955E+03         0.140978E+04
   0.540000E+02         0.152337E+04         0.837033E+03         0.141861E+04
   0.550000E+02         0.152727E+04         0.840909E+03         0.142700E+04
   0.560000E+02         0.153097E+04         0.844594E+03         0.143499E+04
   0.570000E+02         0.153449E+04         0.848096E+03         0.144258E+04
   0.580000E+02         0.153784E+04         0.851425E+03         0.144979E+04
   0.590000E+02         0.154101E+04         0.854590E+03         0.145665E+04
   0.600000E+02         0.154403E+04         0.857597E+03         0.146317E+04
   0.610000E+02         0.154690E+04         0.860456E+03         0.146937E+04
   0.620000E+02         0.154962E+04         0.863173E+03         0.147527E+04
   0.630000E+02         0.155221E+04         0.865755E+03         0.148087E+04
   0.640000E+02         0.155467E+04         0.868209E+03         0.148619E+04
   0.650000E+02         0.155701E+04         0.870541E+03         0.149125E+04
   0.660000E+02         0.155923E+04         0.872758E+03         0.149606E+04
   0.670000E+02         0.156134E+04         0.874865E+03         0.150064E+04
   0.680000E+02         0.156335E+04         0.876867E+03         0.150498E+04
   0.690000E+02         0.156525E+04         0.878770E+03         0.150911E+04
   0.700000E+02         0.156706E+04         0.880578E+03         0.151304E+04
   0.710000E+02         0.156879E+04         0.882296E+03         0.151677E+04
   0.720000E+02         0.157042E+04         0.883929E+03         0.152031E+04
   0.730000E+02         0.157197E+04         0.885481E+03         0.152368E+04
   0.740000E+02         0.157345E+04         0.886956E+03         0.152688E+04
   0.750000E+02         0.157485E+04         0.888358E+03         0.152993E+04
   0.760000E+02         0.157619E+04         0.889690E+03         0.153282E+04
   0.770000E+02         0.157745E+04         0.890956E+03         0.153557E+04
   0.780000E+02         0.157866E+04         0.892159E+03         0.153818E+04
   0.790000E+02         0.157980E+04         0.893302E+03         0.154066E+04
   0.800000E+02         0.158089E+04         0.894388E+03         0.154302E+04
   0.810000E+02         0.158192E+04         0.895421E+03         0.154526E+04
   0.820000E+02         0.158290E+04         0.896402E+03         0.154740E+04
   0.830000E+02         0.158383E+04         0.897334E+03         0.154942E+04
   0.840000E+02         0.158472E+04         0.898220E+03         0.155134E+04
   0.850000E+02         0.158556E+04         0.899062E+03         0.155317E+04
   0.860000E+02         0.158636E+04         0.899862E+03         0.155491E+04
   0.870000E+02         0.158712E+04         0.900622E+03         0.155656E+04
   0.880000E+02         0.158785E+04         0.901345E+03         0.155813E+04
   0.890000E+02         0.158853E+04         0.902032E+03         0.155962E+04
   0.900000E+02         0.158918E+04         0.902684E+03         0.156104E+04
   0.910000E+02         0.158980E+04         0.903304E+03         0.156239E+04
   0.920000E+02         0.159039E+04         0.903893E+03         0.156367E+04
   0.930000E+02         0.159095E+04         0.904453E+03         0.156488E+04
   0.940000E+02         0.159149E+04         0.904985E+03         0.156604E+04
   0.950000E+02         0.159199E+04         0.905491E+03         0.156714E+04
   0.960000E+02         0.159247E+04         0.905972E+03         0.156818E+04
   0.970000E+02         0.159293E+04         0.906428E+03         0.156917E+04
   0.980000E+02         0.159336E+04         0.906862E+03         0.157011E+04
   0.990000E+02         0.159378E+04         0.907275E+03         0.157101E+04
   0.100000E+03         0.159417E+04         0.907666E+03         0.157186E+04
   0.101000E+03         0.159454E+04         0.908039E+03         0.157267E+04
   0.102000E+03         0.159489E+04         0.908393E+03         0.157344E+04
   0.103000E+03         0.159523E+04         0.908729E+03         0.157417E+04
   0.104000E+03         0.159555E+04         0.909048E+03         0.157486E+04
   0.105000E+03         0.159585E+04         0.909352E+03         0.157552E+04
   0.106000E+03         0.159614E+04         0.909641E+03         0.157615E+04
   0.107000E+03         0.159642E+04         0.909915E+03         0.157674E+04
   0.108000E+03         0.159668E+04         0.910175E+03         0.157731E+04
   0.109000E+03         0.159692E+04         0.910423E+03         0.157785E+04
   0.110000E+03         0.159716E+04         0.910658E+03         0.157836E+04
   0.111000E+03         0.159738E+04         0.910882E+03         0.157884E+04
   0.112000E+03         0.159760E+04         0.911095E+03         0.157931E+04
   0.113000E+03         0.159780E+04         0.911297E+03         0.157974E+04
   0.114000E+03         0.159799E+04         0.911488E+03         0.158016E+04
   0.115000E+03         0.159817E+04         0.911671E+03         0.158056E+04
   0.116000E+03         0.159835E+04         0.911844E+03         0.158093E+04
   0.117000E+03         0.159851E+04         0.912009E+03         0.158129E+04
   0.118000E+03         0.159867E+04         0.912165E+03         0.158163E+04
   0.119000E+03         0.159881E+04         0.912314E+03         0.158195E+04
   0.120000E+03         0.159896E+04         0.912455E+03         0.158226E+04
   0.121000E+03         0.159909E+04         0.912590E+03         0.158255E+04
   0.122000E+03         0.159922E+04         0.912717E+03         0.158283E+04
   0.123000E+03         0.159934E+04         0.912838E+03         0.158309E+04
   0.124000E+03         0.159945E+04         0.912954E+03         0.158334E+04
   0.125000E+03         0.159956E+04         0.913063E+03         0.158358E+04
   0.126000E+03         0.159967E+04         0.913167E+03         0.158381E+04
   0.127000E+03         0.159977E+04         0.913266E+03         0.158402E+04
   0.128000E+03         0.159986E+04         0.913360E+03         0.158423E+04
   0.129000E+03         0.159995E+04         0.913449E+03         0.158442E+04
   0.130000E+03         0.160004E+04         0.913534E+03         0.158461E+04
   0.131000E+03         0.160012E+04         0.913615E+03         0.158478E+04
   0.132000E+03         0.160019E+04         0.913692E+03         0.158495E+04
   0.133000E+03         0.160027E+04         0.913764E+03         0.158511E+04
   0.134000E+03         0.160033E+04         0.913834E+03         0.158526E+04
   0.135000E+03         0.160040E+04         0.913899E+03         0.158540E+04
   0.136000E+03         0.160046E+04         0.913962E+03         0.158553E+04
   0.137000E+03         0.160052E+04         0.914021E+03         0.158566E+04
   0.138000E+03         0.160058E+04         0.914078E+03         0.158579E+04
   0.139000E+03         0.160063E+04         0.914131E+03         0.158590E+04
   0.140000E+03         0.160068E+04         0.914182E+03         0.158601E+04
