#    time(ps)        R(t,x=0)       J(t,x=L)
   0.000000E+00   0.241671E+03   0.493782E+02
   0.100000E+01   0.469998E+03   0.243861E+03
   0.200000E+01   0.682936E+03   0.630930E+03
   0.300000E+01   0.880749E+03   0.115492E+04
   0.400000E+01   0.106350E+04   0.170720E+04
   0.500000E+01   0.123110E+04   0.220481E+04
   0.600000E+01   0.138356E+04   0.262053E+04
   0.700000E+01   0.152104E+04   0.296473E+04
   0.800000E+01   0.164392E+04   0.325633E+04
   0.900000E+01   0.175277E+04   0.350703E+04
   0.100000E+02   0.184823E+04   0.372006E+04
   0.110000E+02   0.193107E+04   0.389508E+04
   0.120000E+02   0.200211E+04   0.403276E+04
   0.130000E+02   0.206226E+04   0.413649E+04
   0.140000E+02   0.211255E+04   0.421189E+04
   0.150000E+02   0.215405E+04   0.426538E+04
   0.160000E+02   0.218786E+04   0.430298E+04
   0.170000E+02   0.221508E+04   0.432956E+04
   0.180000E+02   0.223674E+04   0.434869E+04
   0.190000E+02   0.225379E+04   0.436282E+04
   0.200000E+02   0.226708E+04   0.437350E+04
   0.210000E+02   0.227736E+04   0.438175E+04
   0.220000E+02   0.228523E+04   0.438820E+04
   0.230000E+02   0.229123E+04   0.439328E+04
   0.240000E+02   0.229578E+04   0.439729E+04
   0.250000E+02   0.229922E+04   0.440045E+04
   0.260000E+02   0.230183E+04   0.440293E+04
   0.270000E+02   0.230380E+04   0.440487E+04
   0.280000E+02   0.230530E+04   0.440638E+04
   0.290000E+02   0.230644E+04   0.440755E+04
   0.300000E+02   0.230732E+04   0.440845E+04
   0.310000E+02   0.230799E+04   0.440915E+04
   0.320000E+02   0.230851E+04   0.440969E+04
   0.330000E+02   0.230891E+04   0.441010E+04
   0.340000E+02   0.230922E+04   0.441042E+04
   0.350000E+02   0.230945E+04   0.441066E+04
   0.360000E+02   0.230964E+04   0.441084E+04
   0.370000E+02   0.230978E+04   0.441099E+04
   0.380000E+02   0.230989E+04   0.441109E+04
   0.390000E+02   0.230998E+04   0.441118E+04
   0.400000E+02   0.231004E+04   0.441124E+04
   0.410000E+02   0.231009E+04   0.441129E+04
   0.420000E+02   0.231013E+04   0.441133E+04
   0.430000E+02   0.231016E+04   0.441136E+04
   0.440000E+02   0.231019E+04   0.441138E+04
   0.450000E+02   0.231020E+04   0.441140E+04
   0.460000E+02   0.231022E+04   0.441141E+04
   0.470000E+02   0.231023E+04   0.441142E+04
   0.480000E+02   0.231024E+04   0.441143E+04
   0.490000E+02   0.231024E+04   0.441144E+04
   0.500000E+02   0.231025E+04   0.441144E+04
   0.510000E+02   0.231025E+04   0.441145E+04
   0.520000E+02   0.231025E+04   0.441145E+04
   0.530000E+02   0.231026E+04   0.441145E+04
   0.540000E+02   0.231026E+04   0.441145E+04
   0.550000E+02   0.231026E+04   0.441145E+04
   0.560000E+02   0.231026E+04   0.441145E+04
   0.570000E+02   0.231026E+04   0.441146E+04
   0.580000E+02   0.231026E+04   0.441146E+04
   0.590000E+02   0.231026E+04   0.441146E+04
   0.600000E+02   0.231026E+04   0.441146E+04
   0.610000E+02   0.231026E+04   0.441146E+04
   0.620000E+02   0.231026E+04   0.441146E+04
   0.630000E+02   0.231026E+04   0.441146E+04
   0.640000E+02   0.231026E+04   0.441146E+04
   0.650000E+02   0.231026E+04   0.441146E+04
   0.660000E+02   0.231026E+04   0.441146E+04
   0.670000E+02   0.231026E+04   0.441146E+04
   0.680000E+02   0.231026E+04   0.441146E+04
   0.690000E+02   0.231026E+04   0.441146E+04
   0.700000E+02   0.231026E+04   0.441146E+04
   0.710000E+02   0.231026E+04   0.441146E+04
   0.720000E+02   0.231026E+04   0.441146E+04
   0.730000E+02   0.231026E+04   0.441146E+04
   0.740000E+02   0.231026E+04   0.441146E+04
   0.750000E+02   0.231026E+04   0.441146E+04
   0.760000E+02   0.231026E+04   0.441146E+04
   0.770000E+02   0.231026E+04   0.441146E+04
   0.780000E+02   0.231026E+04   0.441146E+04
   0.790000E+02   0.231026E+04   0.441146E+04
   0.800000E+02   0.231026E+04   0.441146E+04
   0.810000E+02   0.231026E+04   0.441146E+04
   0.820000E+02   0.231026E+04   0.441146E+04
   0.830000E+02   0.231026E+04   0.441146E+04
   0.840000E+02   0.231026E+04   0.441146E+04
   0.850000E+02   0.231026E+04   0.441146E+04
   0.860000E+02   0.231026E+04   0.441146E+04
   0.870000E+02   0.231026E+04   0.441146E+04
   0.880000E+02   0.231026E+04   0.441146E+04
   0.890000E+02   0.231026E+04   0.441146E+04
   0.900000E+02   0.231026E+04   0.441146E+04
   0.910000E+02   0.231026E+04   0.441146E+04
   0.920000E+02   0.231026E+04   0.441146E+04
   0.930000E+02   0.231026E+04   0.441146E+04
   0.940000E+02   0.231026E+04   0.441146E+04
   0.950000E+02   0.231026E+04   0.441146E+04
   0.960000E+02   0.231026E+04   0.441146E+04
   0.970000E+02   0.231026E+04   0.441146E+04
   0.980000E+02   0.231026E+04   0.441146E+04
   0.990000E+02   0.231026E+04   0.441146E+04
   0.100000E+03   0.231026E+04   0.441146E+04
   0.101000E+03   0.231026E+04   0.441146E+04
   0.102000E+03   0.231026E+04   0.441146E+04
   0.103000E+03   0.231026E+04   0.441146E+04
   0.104000E+03   0.231026E+04   0.441146E+04
   0.105000E+03   0.231026E+04   0.441146E+04
   0.106000E+03   0.231026E+04   0.441146E+04
   0.107000E+03   0.231026E+04   0.441146E+04
   0.108000E+03   0.231026E+04   0.441146E+04
   0.109000E+03   0.231026E+04   0.441146E+04
   0.110000E+03   0.231026E+04   0.441146E+04
   0.111000E+03   0.231026E+04   0.441146E+04
   0.112000E+03   0.231026E+04   0.441146E+04
   0.113000E+03   0.231026E+04   0.441146E+04
   0.114000E+03   0.231026E+04   0.441146E+04
   0.115000E+03   0.231026E+04   0.441146E+04
   0.116000E+03   0.231026E+04   0.441146E+04
   0.117000E+03   0.231026E+04   0.441146E+04
   0.118000E+03   0.231026E+04   0.441146E+04
   0.119000E+03   0.231026E+04   0.441146E+04
   0.120000E+03   0.231026E+04   0.441146E+04
   0.121000E+03   0.231026E+04   0.441146E+04
   0.122000E+03   0.231026E+04   0.441146E+04
   0.123000E+03   0.231026E+04   0.441146E+04
   0.124000E+03   0.231026E+04   0.441146E+04
   0.125000E+03   0.231026E+04   0.441146E+04
   0.126000E+03   0.231026E+04   0.441146E+04
   0.127000E+03   0.231026E+04   0.441146E+04
   0.128000E+03   0.231026E+04   0.441146E+04
   0.129000E+03   0.231026E+04   0.441146E+04
   0.130000E+03   0.231026E+04   0.441146E+04
   0.131000E+03   0.231026E+04   0.441146E+04
   0.132000E+03   0.231026E+04   0.441146E+04
   0.133000E+03   0.231026E+04   0.441146E+04
   0.134000E+03   0.231026E+04   0.441146E+04
   0.135000E+03   0.231026E+04   0.441146E+04
   0.136000E+03   0.231026E+04   0.441146E+04
   0.137000E+03   0.231026E+04   0.441146E+04
   0.138000E+03   0.231026E+04   0.441146E+04
   0.139000E+03   0.231026E+04   0.441146E+04
   0.140000E+03   0.231026E+04   0.441146E+04
   0.141000E+03   0.231026E+04   0.441146E+04
   0.142000E+03   0.231026E+04   0.441146E+04
   0.143000E+03   0.231026E+04   0.441146E+04
   0.144000E+03   0.231026E+04   0.441146E+04
   0.145000E+03   0.231026E+04   0.441146E+04
   0.146000E+03   0.231026E+04   0.441146E+04
   0.147000E+03   0.231026E+04   0.441146E+04
   0.148000E+03   0.231026E+04   0.441146E+04
   0.149000E+03   0.231026E+04   0.441146E+04
   0.150000E+03   0.231026E+04   0.441146E+04
   0.151000E+03   0.231026E+04   0.441146E+04
   0.152000E+03   0.231026E+04   0.441146E+04
   0.153000E+03   0.231026E+04   0.441146E+04
   0.154000E+03   0.231026E+04   0.441146E+04
   0.155000E+03   0.231026E+04   0.441146E+04
   0.156000E+03   0.231026E+04   0.441146E+04
   0.157000E+03   0.231026E+04   0.441146E+04
   0.158000E+03   0.231026E+04   0.441146E+04
   0.159000E+03   0.231026E+04   0.441146E+04
   0.160000E+03   0.231026E+04   0.441146E+04
   0.161000E+03   0.231026E+04   0.441146E+04
   0.162000E+03   0.231026E+04   0.441146E+04
   0.163000E+03   0.231026E+04   0.441146E+04
   0.164000E+03   0.231026E+04   0.441146E+04
   0.165000E+03   0.231026E+04   0.441146E+04
   0.166000E+03   0.231026E+04   0.441146E+04
   0.167000E+03   0.231026E+04   0.441146E+04
   0.168000E+03   0.231026E+04   0.441146E+04
   0.169000E+03   0.231026E+04   0.441146E+04
   0.170000E+03   0.231026E+04   0.441146E+04
   0.171000E+03   0.231026E+04   0.441146E+04
   0.172000E+03   0.231026E+04   0.441146E+04
   0.173000E+03   0.231026E+04   0.441146E+04
   0.174000E+03   0.231026E+04   0.441146E+04
   0.175000E+03   0.231026E+04   0.441146E+04
   0.176000E+03   0.231026E+04   0.441146E+04
   0.177000E+03   0.231026E+04   0.441146E+04
   0.178000E+03   0.231026E+04   0.441146E+04
   0.179000E+03   0.231026E+04   0.441146E+04
   0.180000E+03   0.231026E+04   0.441146E+04
   0.181000E+03   0.231026E+04   0.441146E+04
   0.182000E+03   0.231026E+04   0.441146E+04
   0.183000E+03   0.231026E+04   0.441146E+04
   0.184000E+03   0.231026E+04   0.441146E+04
   0.185000E+03   0.231026E+04   0.441146E+04
   0.186000E+03   0.231026E+04   0.441146E+04
   0.187000E+03   0.231026E+04   0.441146E+04
   0.188000E+03   0.231026E+04   0.441146E+04
   0.189000E+03   0.231026E+04   0.441146E+04
   0.190000E+03   0.231026E+04   0.441146E+04
   0.191000E+03   0.231026E+04   0.441146E+04
   0.192000E+03   0.231026E+04   0.441146E+04
   0.193000E+03   0.231026E+04   0.441146E+04
   0.194000E+03   0.231026E+04   0.441146E+04
   0.195000E+03   0.231026E+04   0.441146E+04
   0.196000E+03   0.231026E+04   0.441146E+04
   0.197000E+03   0.231026E+04   0.441146E+04
   0.198000E+03   0.231026E+04   0.441146E+04
   0.199000E+03   0.231026E+04   0.441146E+04
