#    time(ps)        R(t,x=0)       J(t,x=L)
   0.000000E+00   0.138263E+04   0.166223E+01
   0.100000E+01   0.238072E+04   0.921647E+01
   0.200000E+01   0.304714E+04   0.276329E+02
   0.300000E+01   0.351488E+04   0.600789E+02
   0.400000E+01   0.385778E+04   0.106264E+03
   0.500000E+01   0.411753E+04   0.163362E+03
   0.600000E+01   0.431990E+04   0.227661E+03
   0.700000E+01   0.448168E+04   0.295669E+03
   0.800000E+01   0.461412E+04   0.364536E+03
   0.900000E+01   0.472480E+04   0.432152E+03
   0.100000E+02   0.481891E+04   0.497051E+03
   0.110000E+02   0.490002E+04   0.558300E+03
   0.120000E+02   0.497069E+04   0.615376E+03
   0.130000E+02   0.503274E+04   0.668062E+03
   0.140000E+02   0.508756E+04   0.716358E+03
   0.150000E+02   0.513621E+04   0.760403E+03
   0.160000E+02   0.517952E+04   0.800420E+03
   0.170000E+02   0.521819E+04   0.836680E+03
   0.180000E+02   0.525278E+04   0.869471E+03
   0.190000E+02   0.528375E+04   0.899081E+03
   0.200000E+02   0.531152E+04   0.925790E+03
   0.210000E+02   0.533644E+04   0.949864E+03
   0.220000E+02   0.535881E+04   0.971551E+03
   0.230000E+02   0.537891E+04   0.991078E+03
   0.240000E+02   0.539696E+04   0.100865E+04
   0.250000E+02   0.541319E+04   0.102447E+04
   0.260000E+02   0.542777E+04   0.103871E+04
   0.270000E+02   0.544088E+04   0.105151E+04
   0.280000E+02   0.545267E+04   0.106303E+04
   0.290000E+02   0.546326E+04   0.107339E+04
   0.300000E+02   0.547279E+04   0.108271E+04
   0.310000E+02   0.548136E+04   0.109109E+04
   0.320000E+02   0.548906E+04   0.109863E+04
   0.330000E+02   0.549599E+04   0.110541E+04
   0.340000E+02   0.550222E+04   0.111150E+04
   0.350000E+02   0.550782E+04   0.111699E+04
   0.360000E+02   0.551286E+04   0.112192E+04
   0.370000E+02   0.551739E+04   0.112635E+04
   0.380000E+02   0.552147E+04   0.113034E+04
   0.390000E+02   0.552513E+04   0.113393E+04
   0.400000E+02   0.552843E+04   0.113715E+04
   0.410000E+02   0.553139E+04   0.114005E+04
   0.420000E+02   0.553405E+04   0.114266E+04
   0.430000E+02   0.553645E+04   0.114501E+04
   0.440000E+02   0.553861E+04   0.114711E+04
   0.450000E+02   0.554054E+04   0.114901E+04
   0.460000E+02   0.554229E+04   0.115072E+04
   0.470000E+02   0.554385E+04   0.115225E+04
   0.480000E+02   0.554526E+04   0.115363E+04
   0.490000E+02   0.554653E+04   0.115487E+04
   0.500000E+02   0.554767E+04   0.115599E+04
   0.510000E+02   0.554870E+04   0.115699E+04
   0.520000E+02   0.554962E+04   0.115789E+04
   0.530000E+02   0.555045E+04   0.115871E+04
   0.540000E+02   0.555119E+04   0.115944E+04
   0.550000E+02   0.555186E+04   0.116009E+04
