#    time(ps)       <R(t,x=0)>       rms         <J(t,x=L)>         rms  
   0.000000E+00   0.922948E+02   0.268906E+02   0.645792E-04   0.728492E-09
   0.100000E+00   0.232090E+03   0.585237E+02   0.645743E-04   0.204049E-08
   0.200000E+00   0.393743E+03   0.871778E+02   0.645673E-04   0.385448E-08
   0.300000E+00   0.561564E+03   0.110647E+03   0.645591E-04   0.616508E-08
   0.400000E+00   0.727450E+03   0.128830E+03   0.645519E-04   0.885453E-08
   0.500000E+00   0.887626E+03   0.142440E+03   0.645537E-04   0.124944E-07
   0.600000E+00   0.104050E+04   0.152353E+03   0.645969E-04   0.211193E-07
   0.700000E+00   0.118553E+04   0.159340E+03   0.648130E-04   0.581835E-07
   0.800000E+00   0.132267E+04   0.163997E+03   0.656660E-04   0.202778E-06
   0.900000E+00   0.145215E+04   0.166777E+03   0.686277E-04   0.690457E-06
   0.100000E+01   0.157432E+04   0.168038E+03   0.779662E-04   0.221187E-05
   0.110000E+01   0.168959E+04   0.168074E+03   0.105098E-03   0.666966E-05
   0.120000E+01   0.179844E+04   0.167149E+03   0.178456E-03   0.189570E-04
   0.130000E+01   0.190130E+04   0.165486E+03   0.364307E-03   0.507469E-04
   0.140000E+01   0.199863E+04   0.163280E+03   0.808288E-03   0.128141E-03
   0.150000E+01   0.209085E+04   0.160691E+03   0.181365E-02   0.305549E-03
   0.160000E+01   0.217834E+04   0.157852E+03   0.397936E-02   0.689261E-03
   0.170000E+01   0.226147E+04   0.154865E+03   0.843247E-02   0.147420E-02
   0.180000E+01   0.234054E+04   0.151807E+03   0.171985E-01   0.299881E-02
   0.190000E+01   0.241585E+04   0.148737E+03   0.337584E-01   0.581397E-02
   0.200000E+01   0.248765E+04   0.145692E+03   0.638418E-01   0.107696E-01
   0.210000E+01   0.255617E+04   0.142706E+03   0.116454E+00   0.191016E-01
   0.220000E+01   0.262162E+04   0.139796E+03   0.205071E+00   0.325061E-01
   0.230000E+01   0.268420E+04   0.136975E+03   0.348715E+00   0.531392E-01
   0.240000E+01   0.274407E+04   0.134250E+03   0.572417E+00   0.835386E-01
   0.250000E+01   0.280141E+04   0.131621E+03   0.906416E+00   0.126429E+00
   0.260000E+01   0.285637E+04   0.129087E+03   0.138418E+01   0.184564E+00
   0.270000E+01   0.290909E+04   0.126645E+03   0.204035E+01   0.260534E+00
   0.280000E+01   0.295970E+04   0.124288E+03   0.290929E+01   0.356527E+00
   0.290000E+01   0.300834E+04   0.122011E+03   0.402411E+01   0.474096E+00
   0.300000E+01   0.305511E+04   0.119809E+03   0.541548E+01   0.614003E+00
   0.310000E+01   0.310014E+04   0.117674E+03   0.711020E+01   0.776054E+00
   0.320000E+01   0.314352E+04   0.115602E+03   0.912981E+01   0.958954E+00
   0.330000E+01   0.318534E+04   0.113588E+03   0.114899E+02   0.116052E+01
   0.340000E+01   0.322570E+04   0.111630E+03   0.141997E+02   0.137794E+01
   0.350000E+01   0.326467E+04   0.109723E+03   0.172624E+02   0.160790E+01
   0.360000E+01   0.330233E+04   0.107866E+03   0.206757E+02   0.184685E+01
   0.370000E+01   0.333875E+04   0.106056E+03   0.244330E+02   0.209128E+01
   0.380000E+01   0.337400E+04   0.104293E+03   0.285240E+02   0.233792E+01
   0.390000E+01   0.340812E+04   0.102576E+03   0.329365E+02   0.258377E+01
   0.400000E+01   0.344119E+04   0.100903E+03   0.376568E+02   0.282644E+01
   0.410000E+01   0.347325E+04   0.992747E+02   0.426707E+02   0.306412E+01
   0.420000E+01   0.350434E+04   0.976895E+02   0.479640E+02   0.329557E+01
   0.430000E+01   0.353452E+04   0.961473E+02   0.535228E+02   0.352003E+01
   0.440000E+01   0.356382E+04   0.946467E+02   0.593335E+02   0.373682E+01
   0.450000E+01   0.359229E+04   0.931867E+02   0.653830E+02   0.394578E+01
   0.460000E+01   0.361997E+04   0.917671E+02   0.716585E+02   0.414704E+01
   0.470000E+01   0.364688E+04   0.903861E+02   0.781474E+02   0.434077E+01
   0.480000E+01   0.367306E+04   0.890431E+02   0.848376E+02   0.452731E+01
   0.490000E+01   0.369854E+04   0.877368E+02   0.917172E+02   0.470710E+01
   0.500000E+01   0.372336E+04   0.864649E+02   0.987747E+02   0.488071E+01
   0.510000E+01   0.374753E+04   0.852275E+02   0.105999E+03   0.504879E+01
   0.520000E+01   0.377109E+04   0.840238E+02   0.113378E+03   0.521190E+01
   0.530000E+01   0.379406E+04   0.828510E+02   0.120901E+03   0.537088E+01
   0.540000E+01   0.381647E+04   0.817076E+02   0.128559E+03   0.552599E+01
   0.550000E+01   0.383833E+04   0.805936E+02   0.136341E+03   0.567787E+01
   0.560000E+01   0.385966E+04   0.795076E+02   0.144237E+03   0.582688E+01
   0.570000E+01   0.388050E+04   0.784478E+02   0.152237E+03   0.597340E+01
   0.580000E+01   0.390085E+04   0.774143E+02   0.160333E+03   0.611771E+01
   0.590000E+01   0.392073E+04   0.764050E+02   0.168515E+03   0.626008E+01
   0.600000E+01   0.394016E+04   0.754193E+02   0.176775E+03   0.640067E+01
   0.610000E+01   0.395917E+04   0.744560E+02   0.185104E+03   0.653968E+01
   0.620000E+01   0.397775E+04   0.735149E+02   0.193495E+03   0.667717E+01
   0.630000E+01   0.399593E+04   0.725940E+02   0.201940E+03   0.681339E+01
   0.640000E+01   0.401373E+04   0.716934E+02   0.210432E+03   0.694836E+01
   0.650000E+01   0.403114E+04   0.708117E+02   0.218964E+03   0.708215E+01
   0.660000E+01   0.404820E+04   0.699488E+02   0.227530E+03   0.721486E+01
   0.670000E+01   0.406490E+04   0.691028E+02   0.236123E+03   0.734657E+01
   0.680000E+01   0.408127E+04   0.682756E+02   0.244739E+03   0.747731E+01
   0.690000E+01   0.409731E+04   0.674635E+02   0.253373E+03   0.760705E+01
   0.700000E+01   0.411303E+04   0.666685E+02   0.262018E+03   0.773592E+01
